{2.145, 8}
{2.19, 7}
{2.235, 23}
{2.28, 36}
{2.325, 70}
{2.37, 45}
{2.415, 26}
{2.46, 88}
{2.505, 96}
{2.55, 71}
{2.595, 64}
{2.64, 74}
{2.685, 98}
{2.73, 139}
{2.775, 188}
{2.82, 129}
{2.865, 163}
{2.91, 146}
{2.955, 178}
{3., 185}
{3.045, 147}
{3.09, 145}
{3.135, 184}
{3.18, 169}
{3.225, 209}
{3.27, 198}
{3.315, 170}
{3.36, 142}
{3.405, 108}
{3.45, 133}
{3.495, 160}
{3.54, 149}
{3.585, 201}
{3.63, 77}
{3.675, 116}
{3.72, 101}
{3.765, 157}
{3.81, 86}
{3.855, 105}
{3.9, 84}
{3.945, 85}
{3.99, 78}
{4.035, 73}
{4.08, 72}
{4.125, 56}
{4.17, 54}
{4.215, 47}
{4.26, 35}
{4.305, 47}
{4.35, 33}
{4.395, 30}
{4.44, 33}
{4.485, 32}
{4.53, 31}
{4.575, 37}
{4.62, 36}
{4.665, 16}
{4.71, 13}
{4.755, 11}
{4.8, 9}
{4.845, 0}
{4.89, 3}
{4.935, 0}
{4.98, 0}
{5.025, 0}
{5.07, 0}
{5.115, 0}
{5.16, 0}
{5.205, 0}
{5.25, 0}
