{3.21, 0.45}
{3.255, 0.36}
{3.3, 0.5}
{3.345, 0.6900000000000001}
{3.39, 0.72}
{3.435, 0.68}
{3.48, 0.56}
{3.525, 0.58}
{3.57, 0.59}
{3.615, 0.49}
{3.66, 0.62}
{3.705, 0.44}
{3.75, 0.51}
{3.795, 0.45}
{3.84, 0.42}
{3.885, 0.32}
{3.93, 0.48}
{3.975, 0.32}
{4.02, 0.43}
{4.065, 0.36}
{4.11, 0.37}
{4.155, 0.24}
{4.2, 0.26}
{4.245, 0.27}
{4.29, 0.26}
{4.335, 0.23}
{4.38, 0.33}
{4.425, 0.3}
{4.47, 0.49}
{4.515, 0.44}
{4.56, 0.6}
{4.605, 0.32}
{4.65, 0.05}
{4.695, 0.05}
{4.74, 0.05}
{4.785, 0.}
{4.83, 0.}
{4.875, 0.}
{4.92, 0.}
{4.965, 0.}
{5.01, 0.}
