{3.21, 70}
{3.255, 120}
{3.3, 115}
{3.345, 97}
{3.39, 103}
{3.435, 94}
{3.48, 101}
{3.525, 90}
{3.57, 82}
{3.615, 83}
{3.66, 92}
{3.705, 79}
{3.75, 70}
{3.795, 59}
{3.84, 65}
{3.885, 65}
{3.93, 74}
{3.975, 58}
{4.02, 65}
{4.065, 58}
{4.11, 58}
{4.155, 68}
{4.2, 64}
{4.245, 54}
{4.29, 57}
{4.335, 50}
{4.38, 44}
{4.425, 46}
{4.47, 43}
{4.515, 36}
{4.56, 40}
{4.605, 36}
{4.65, 42}
{4.695, 45}
{4.74, 39}
{4.785, 35}
{4.83, 22}
{4.875, 12}
{4.92, 4}
{4.965, 0}
{5.01, 0}
