{-Pi, -0.040222215783317174}
{(-31*Pi)/32, -0.03724269405981005}
{(-15*Pi)/16, -0.0395365876673764}
{(-29*Pi)/32, -0.038440711764159675}
{(-7*Pi)/8, -0.03895152490257221}
{(-27*Pi)/32, -0.038572473331075996}
{(-13*Pi)/16, -0.036154623836731264}
{(-25*Pi)/32, -0.03619402120447818}
{(-3*Pi)/4, -0.03514594022816227}
{(-23*Pi)/32, -0.03380648247640378}
{(-11*Pi)/16, -0.029814224240442642}
{(-21*Pi)/32, -0.02557854942596556}
{(-5*Pi)/8, -0.024597282405571033}
{(-19*Pi)/32, -0.02133980141419898}
{(-9*Pi)/16, -0.020735856472328423}
{(-17*Pi)/32, -0.012796876563537108}
{-Pi/2, -0.007864035381887124}
{(-15*Pi)/32, -0.006981125404717096}
{(-7*Pi)/16, -0.0033099558435068926}
{(-13*Pi)/32, -0.0009526890547502428}
{(-3*Pi)/8, 0.003918699827903509}
{(-11*Pi)/32, 0.0048166814473798135}
{(-5*Pi)/16, 0.007512277317341732}
{(-9*Pi)/32, 0.010002134045231995}
{-Pi/4, 0.01028721136080698}
{(-7*Pi)/32, 0.004821256457995221}
{(-3*Pi)/16, 0.010251026867206617}
{(-5*Pi)/32, 0.015672552069835893}
{-Pi/8, 0.013168230720560191}
{(-3*Pi)/32, 0.0111322118881787}
{-Pi/16, 0.007893485450088632}
{-Pi/32, 0.01517637327171476}
{0, 0.0454471779868101}
{Pi/32, 0.04407022724155912}
{Pi/16, 0.04787513177767844}
{(3*Pi)/32, 0.04577297412250522}
{Pi/8, 0.04704654712555595}
{(5*Pi)/32, 0.03986270446498479}
{(3*Pi)/16, 0.0442363333420559}
{(7*Pi)/32, 0.034933047133875614}
{Pi/4, 0.0310013412419883}
{(9*Pi)/32, 0.03236890907783618}
{(5*Pi)/16, 0.027043309499020098}
{(11*Pi)/32, 0.023737631180763413}
{(3*Pi)/8, 0.01896601558898548}
{(13*Pi)/32, 0.016935718735242352}
{(7*Pi)/16, 0.014799566565338932}
{(15*Pi)/32, 0.011174829139489306}
{Pi/2, 0.009393947105179042}
{(17*Pi)/32, 0.008681227691134719}
{(9*Pi)/16, 0.005400807251780607}
{(19*Pi)/32, 0.003850476028654656}
{(5*Pi)/8, 0.0025941918918320934}
{(21*Pi)/32, 0.0007992077619555341}
{(11*Pi)/16, -0.00027335655672714636}
{(23*Pi)/32, -0.0028919803615084943}
{(3*Pi)/4, 0.0034447495970674597}
{(25*Pi)/32, -0.0014592772768773237}
{(13*Pi)/16, -0.0057386696922548525}
{(27*Pi)/32, -0.011060877615219431}
{(7*Pi)/8, -0.01584352340908599}
{(29*Pi)/32, -0.0166334008846423}
{(15*Pi)/16, -0.013887151129540237}
{(31*Pi)/32, -0.020966378115415456}
