{-15, 0.10665400149347387}
{-449/30, 0.09763371031782107}
{-224/15, 0.11297583079142126}
{-149/10, 0.11222094101817054}
{-223/15, 0.10747674788752296}
{-89/6, 0.1051133617519841}
{-74/5, 0.07681101264214431}
{-443/30, 0.09385002224711596}
{-221/15, 0.09991272434119926}
{-147/10, 0.09471637094668046}
{-44/3, 0.08531602811610291}
{-439/30, 0.09596996645957033}
{-73/5, 0.08238853407816371}
{-437/30, 0.0846111982315944}
{-218/15, 0.08108423110641118}
{-29/2, 0.08439937952141986}
{-217/15, 0.06566086193841805}
{-433/30, 0.07146272456077718}
{-72/5, 0.07073886507740192}
{-431/30, 0.08360752642618227}
{-43/3, 0.08763996028956633}
{-143/10, 0.09303120517414627}
{-214/15, 0.08308644587336649}
{-427/30, 0.08251274784692192}
{-71/5, 0.07759744454003176}
{-85/6, 0.0748061499319071}
{-212/15, 0.07234888348564852}
{-141/10, 0.07417714971223847}
{-211/15, 0.07326295905225165}
{-421/30, 0.0666297556801602}
{-14, 0.06386279328946508}
{-419/30, 0.06155821306403296}
{-209/15, 0.056553718786237134}
{-139/10, 0.05958987644864074}
{-208/15, 0.05555933036969916}
{-83/6, 0.06980586021462734}
{-69/5, 0.07183235058632663}
{-413/30, 0.058985671634506354}
{-206/15, 0.055176274257624204}
{-137/10, 0.058938976448381336}
{-41/3, 0.051694416312165314}
{-409/30, 0.049910168294437625}
{-68/5, 0.05392913943806606}
{-407/30, 0.04643487927381341}
{-203/15, 0.0417512270568351}
{-27/2, 0.033890100300661925}
{-202/15, 0.042247280918533116}
{-403/30, 0.03621181616902865}
{-67/5, 0.01907519611142158}
{-401/30, 0.017435549832283233}
{-40/3, 0.011661788639747886}
{-133/10, 0.013413715236313406}
{-199/15, 0.014200581960144346}
{-397/30, 0.006029679273774462}
{-66/5, -0.0005476126982632527}
{-79/6, 0.009411716630938063}
{-197/15, 0.0039053179566880783}
{-131/10, 0.0014695370073329061}
{-196/15, -0.008612558234881008}
{-391/30, -0.0049887015157135195}
{-13, 0.004121929529470712}
{-389/30, -0.00863007165433824}
{-194/15, -0.0056741823161922935}
{-129/10, -0.0037820513005510704}
{-193/15, -0.012678572371441111}
{-77/6, -0.015697437858469578}
{-64/5, -0.019314739677364}
{-383/30, -0.009310525471030314}
{-191/15, -0.02085933689630382}
{-127/10, -0.01863250673091417}
{-38/3, -0.003001481342269846}
{-379/30, -0.01483427126322407}
{-63/5, -0.015773016018879624}
{-377/30, -0.015569789188425432}
{-188/15, -0.0041927434614388095}
{-25/2, -0.00511142627079586}
{-187/15, -0.013733944217964525}
{-373/30, -0.022016114209477255}
{-62/5, -0.005744489688852104}
{-371/30, -0.010313195257908286}
{-37/3, -0.007771354553938712}
{-123/10, -0.02015090345458626}
{-184/15, -0.027044053056038346}
{-367/30, -0.025769117745500843}
{-61/5, -0.020958695962651104}
{-73/6, -0.013364096181957882}
{-182/15, -0.015046455856019745}
{-121/10, -0.024642483200648987}
{-181/15, -0.027852016433341314}
{-361/30, -0.019275374346895847}
{-12, -0.03175972499292061}
{-359/30, -0.023244315765181957}
{-179/15, -0.03247420821783957}
{-119/10, -0.033162616793664765}
{-178/15, -0.027162798951005037}
{-71/6, -0.02652229685663179}
{-59/5, -0.028393973954545845}
{-353/30, -0.026898570856147882}
{-176/15, -0.027403187788385554}
{-117/10, -0.04257613793568954}
{-35/3, -0.04366728064885995}
{-349/30, -0.04495841240723199}
{-58/5, -0.03730919921379339}
{-347/30, -0.03683192648906947}
{-173/15, -0.03921106217421623}
{-23/2, -0.05001152092495276}
{-172/15, -0.0575879785429519}
{-343/30, -0.06512003217533369}
{-57/5, -0.04646204596618675}
{-341/30, -0.06083723543875792}
{-34/3, -0.06868513179717278}
{-113/10, -0.05539735867987422}
{-169/15, -0.05503213516559771}
{-337/30, -0.05620194536427955}
{-56/5, -0.07461150847629418}
{-67/6, -0.057701936640406876}
{-167/15, -0.06536693352499222}
{-111/10, -0.05455567840955297}
{-166/15, -0.05964330629830669}
{-331/30, -0.06798202634813925}
{-11, -0.06878997016420164}
{-329/30, -0.06289820360519681}
{-164/15, -0.057792129193839435}
{-109/10, -0.06634135269831481}
{-163/15, -0.05547291357342459}
{-65/6, -0.0546387407135736}
{-54/5, -0.07016712047542303}
{-323/30, -0.07443957191778136}
{-161/15, -0.07476862535275497}
{-107/10, -0.08025766606523826}
{-32/3, -0.08405196001104435}
{-319/30, -0.07572758750885118}
{-53/5, -0.07469953842305813}
{-317/30, -0.074920673541482}
{-158/15, -0.06344693152668109}
{-21/2, -0.07233722103717355}
{-157/15, -0.07008717231891308}
{-313/30, -0.06273108590881754}
{-52/5, -0.054068714443923485}
{-311/30, -0.0460202375958831}
{-31/3, -0.05918537818610551}
{-103/10, -0.059156648808079464}
{-154/15, -0.057939604546261105}
{-307/30, -0.048372455961271016}
{-51/5, -0.034286454723974756}
{-61/6, -0.042230508971232844}
{-152/15, -0.03457219162897926}
{-101/10, -0.040242738159214905}
{-151/15, -0.043493320369847474}
{-301/30, -0.027888658074956996}
{-10, -0.03766266484125148}
{-299/30, -0.04238369742813605}
{-149/15, -0.019974389860404805}
{-99/10, -0.027026937355375022}
{-148/15, -0.030880924461781235}
{-59/6, -0.017292456044996598}
{-49/5, -0.002808058830198068}
{-293/30, 0.004389027555659313}
{-146/15, -0.004421607407566728}
{-97/10, 0.0033395541287150193}
{-29/3, 0.00797831350971948}
{-289/30, 0.020498399264975924}
{-48/5, 0.02664510836244584}
{-287/30, 0.011589985238257983}
{-143/15, 0.016205125399834684}
{-19/2, 0.031792608294367385}
{-142/15, 0.043543425389139245}
{-283/30, 0.029966959258614857}
{-47/5, 0.046890911404091906}
{-281/30, 0.046395867531393596}
{-28/3, 0.04566667060355836}
{-93/10, 0.05154112867295841}
{-139/15, 0.04644048626129904}
{-277/30, 0.052850890016122504}
{-46/5, 0.044805326615572044}
{-55/6, 0.039321869621632546}
{-137/15, 0.041314156293849186}
{-91/10, 0.06042215493301155}
{-136/15, 0.06363612664095283}
{-271/30, 0.05169867459291073}
{-9, 0.0649818699696106}
{-269/30, 0.05661486726729269}
