{-Pi, 0.04410766555729831}
{(-31*Pi)/32, 0.04423144172273305}
{(-15*Pi)/16, 0.048969868847830084}
{(-29*Pi)/32, 0.04932341804387653}
{(-7*Pi)/8, 0.05297320077574339}
{(-27*Pi)/32, 0.05956268413163769}
{(-13*Pi)/16, 0.061518472619965306}
{(-25*Pi)/32, 0.0586889405393915}
{(-3*Pi)/4, 0.06682156400311773}
{(-23*Pi)/32, 0.061362362942050754}
{(-11*Pi)/16, 0.06906769557181619}
{(-21*Pi)/32, 0.060596818680041416}
{(-5*Pi)/8, 0.05678280717657248}
{(-19*Pi)/32, 0.0632738598905826}
{(-9*Pi)/16, 0.05379188819649442}
{(-17*Pi)/32, 0.05117755330888149}
{-Pi/2, 0.05780614081360564}
{(-15*Pi)/32, 0.04343810167822265}
{(-7*Pi)/16, 0.051300934239836574}
{(-13*Pi)/32, 0.042945436960506005}
{(-3*Pi)/8, 0.04302098083204218}
{(-11*Pi)/32, 0.04340721762174604}
{(-5*Pi)/16, 0.04900430227943789}
{(-9*Pi)/32, 0.03031877168824297}
{-Pi/4, 0.033668738154914696}
{(-7*Pi)/32, 0.06582439519363521}
{(-3*Pi)/16, 0.035948400716055415}
{(-5*Pi)/32, 0.04120382757225506}
{-Pi/8, 0.0420656148551048}
{(-3*Pi)/32, 0.026863506842291253}
{-Pi/16, 0.01802892067771135}
{-Pi/32, 0.033596971475187684}
{0, -0.050040355409057324}
{Pi/32, -0.05393537224230333}
{Pi/16, -0.05691742365849238}
{(3*Pi)/32, -0.05409848727276251}
{Pi/8, -0.04834558676844165}
{(5*Pi)/32, -0.05924309183091528}
{(3*Pi)/16, -0.045152086124656036}
{(7*Pi)/32, -0.06069797146406804}
{Pi/4, -0.058333438419767215}
{(9*Pi)/32, -0.05471440384952709}
{(5*Pi)/16, -0.06016713316109501}
{(11*Pi)/32, -0.059712483047723766}
{(3*Pi)/8, -0.05890855124669475}
{(13*Pi)/32, -0.0630043014441675}
{(7*Pi)/16, -0.06588314053654412}
{(15*Pi)/32, -0.05741157972225795}
{Pi/2, -0.07149643565743616}
{(17*Pi)/32, -0.09323102095757287}
{(9*Pi)/16, -0.0904846155873328}
{(19*Pi)/32, -0.0825868527491612}
{(5*Pi)/8, -0.08165570956386256}
{(21*Pi)/32, -0.07714047922032902}
{(11*Pi)/16, -0.07356651583536933}
{(23*Pi)/32, -0.06839417682538493}
{(3*Pi)/4, -0.07304369006260496}
{(25*Pi)/32, -0.05516368599942033}
{(13*Pi)/16, -0.06186091060003038}
{(27*Pi)/32, -0.04210471297167928}
{(7*Pi)/8, -0.038908210854464075}
{(29*Pi)/32, -0.029799471922212165}
{(15*Pi)/16, -0.036684101122273764}
{(31*Pi)/32, -0.007490012761267721}
