{-15, 0.1379572180942016}
{-449/30, 0.13246655085744338}
{-224/15, 0.1361422212056113}
{-149/10, 0.1175650791264254}
{-223/15, 0.11876825552855766}
{-89/6, 0.11176670572134143}
{-74/5, 0.10179235076378264}
{-443/30, 0.11429487606912199}
{-221/15, 0.09618097353342485}
{-147/10, 0.09498911696667592}
{-44/3, 0.09531428419666176}
{-439/30, 0.09839400354669471}
{-73/5, 0.08768988045278257}
{-437/30, 0.07594678465111143}
{-218/15, 0.08629877540581449}
{-29/2, 0.08238062142741155}
{-217/15, 0.07210533446847942}
{-433/30, 0.0693648871057933}
{-72/5, 0.06819999431585162}
{-431/30, 0.07650147178780486}
{-43/3, 0.08137711425483302}
{-143/10, 0.06624472467742147}
{-214/15, 0.06039048986389373}
{-427/30, 0.0630325544257076}
{-71/5, 0.07123662010022408}
{-85/6, 0.05025807995598188}
{-212/15, 0.04693235234045371}
{-141/10, 0.056437444431422124}
{-211/15, 0.06134311805063627}
{-421/30, 0.05682364547814804}
{-14, 0.0339456569539932}
{-419/30, 0.03159981386820918}
{-209/15, 0.03599040363140575}
{-139/10, 0.037593178269001055}
{-208/15, 0.037249679504649885}
{-83/6, 0.030944515661829992}
{-69/5, 0.007418295861445835}
{-413/30, 0.017896640106526356}
{-206/15, 0.014451913596998983}
{-137/10, 0.013548955661568779}
{-41/3, 0.03095292305894563}
{-409/30, 0.020390832272483127}
{-68/5, 0.01805668817004784}
{-407/30, 0.026492442060629888}
{-203/15, 0.015305196353117164}
{-27/2, 0.010489202681945522}
{-202/15, 0.005660654726728004}
{-403/30, 0.004573928189843716}
{-67/5, 0.024215826776666456}
{-401/30, 0.028998505740595436}
{-40/3, 0.003988766037623409}
{-133/10, 0.012792137144999391}
{-199/15, -0.0005910447943520834}
{-397/30, -0.010298650636218282}
{-66/5, -0.004519846119817548}
{-79/6, 0.0023801393210312193}
{-197/15, 0.016413130084578006}
{-131/10, -0.00482052301526083}
{-196/15, -0.019522619741895068}
{-391/30, -0.010358623902071273}
{-13, -0.009188063838507812}
{-389/30, -0.010093951519524967}
{-194/15, -0.01937385680565256}
{-129/10, -0.019627168364492943}
{-193/15, -0.02660736496746728}
{-77/6, -0.02711424587777517}
{-64/5, -0.03559914349193807}
{-383/30, -0.02483635533303243}
{-191/15, -0.01715977171949426}
{-127/10, -0.03734265172237116}
{-38/3, -0.02230600057930284}
{-379/30, -0.018778213302222818}
{-63/5, -0.018784188648240427}
{-377/30, -0.02129643032389161}
{-188/15, -0.02651730650903563}
{-25/2, -0.022591343367856027}
{-187/15, -0.03133380121800749}
{-373/30, -0.022182302885618222}
{-62/5, -0.019412130364238528}
{-371/30, -0.022848600537547285}
{-37/3, -0.02177569555823923}
{-123/10, -0.016255441783253985}
{-184/15, -0.02004366217012556}
{-367/30, -0.034914622162731626}
{-61/5, -0.03567741213678574}
{-73/6, -0.010785834296792087}
{-182/15, -0.022269640655944438}
{-121/10, -0.01279783811418555}
{-181/15, -0.012602819121440073}
{-361/30, -0.018552476015424153}
{-12, -0.0069924545017923095}
{-359/30, -0.02750211637084971}
{-179/15, -0.03927100849625685}
{-119/10, -0.02584252518465191}
{-178/15, -0.018321449424225558}
{-71/6, -0.0202977750441492}
{-59/5, -0.021754181862083905}
{-353/30, -0.03170915177498137}
{-176/15, -0.027905972926143986}
{-117/10, -0.01591952573287575}
{-35/3, -0.026919700355261342}
{-349/30, -0.03544925532628024}
{-58/5, -0.018794643532795016}
{-347/30, -0.011594584982107919}
{-173/15, -0.02072036278766513}
{-23/2, -0.026540556168128674}
{-172/15, -0.022682235171832762}
{-343/30, -0.03234395074293988}
{-57/5, -0.021645823819748895}
{-341/30, -0.019885516301632582}
{-34/3, -0.030883050143229195}
{-113/10, -0.036849766466478924}
{-169/15, -0.04288509605144987}
{-337/30, -0.027934937660423848}
{-56/5, -0.020642092253098265}
{-67/6, -0.021889260488074488}
{-167/15, -0.02561721638113159}
{-111/10, -0.048153802927019713}
