{-15, 0.13101413034953494}
{-449/30, 0.1429755730632428}
{-224/15, 0.14977387727849603}
{-149/10, 0.14329100233446965}
{-223/15, 0.1304046944366467}
{-89/6, 0.11838720897290594}
{-74/5, 0.10925195492423566}
{-443/30, 0.12345217669024329}
{-221/15, 0.11126995173719918}
{-147/10, 0.11394178525371552}
{-44/3, 0.10816299615355873}
{-439/30, 0.10381958193700475}
{-73/5, 0.10836570670280798}
{-437/30, 0.10161711201079783}
{-218/15, 0.10763819700307281}
{-29/2, 0.10090863038552286}
{-217/15, 0.0722252601742034}
{-433/30, 0.08868934567727013}
{-72/5, 0.08572082424871236}
{-431/30, 0.09622271366155168}
{-43/3, 0.09920613479273306}
{-143/10, 0.07916092524785778}
{-214/15, 0.07427379685153478}
{-427/30, 0.0764717154523438}
{-71/5, 0.07794068617593009}
{-85/6, 0.058971740519098904}
{-212/15, 0.06220363782099893}
{-141/10, 0.0759548790612147}
{-211/15, 0.07489026304600348}
{-421/30, 0.06237040747597164}
{-14, 0.03388141141102593}
{-419/30, 0.045020736951416666}
{-209/15, 0.04503823329282868}
{-139/10, 0.05304114059329102}
{-208/15, 0.05535554610238017}
{-83/6, 0.04968522445169946}
{-69/5, 0.02516156215994878}
{-413/30, 0.029356489456883524}
{-206/15, 0.02237297222607304}
{-137/10, 0.03159638771332037}
{-41/3, 0.033794863771125755}
{-409/30, 0.024758288965443284}
{-68/5, 0.03194582748514193}
{-407/30, 0.03809816855082925}
{-203/15, 0.03170550942387211}
{-27/2, 0.013766300352961893}
{-202/15, 0.01746023346868597}
{-403/30, 0.006997811759271524}
{-67/5, 0.034385451791021794}
{-401/30, 0.03960978956700276}
{-40/3, 0.014183683200958143}
{-133/10, 0.019396054286962183}
{-199/15, 0.009225915198308801}
{-397/30, -0.001778070542931873}
{-66/5, 0.00021648204832243188}
{-79/6, 0.010821635983853446}
{-197/15, 0.025124265943787635}
{-131/10, 0.011091724910740156}
{-196/15, -0.019952832197029497}
{-391/30, -0.012570837267486704}
{-13, -0.0014961805028718413}
{-389/30, -0.0183368837794592}
{-194/15, -0.03298747310785744}
{-129/10, -0.03921098171728751}
{-193/15, -0.0339684063838805}
{-77/6, -0.02843721295972705}
{-64/5, -0.038078490387065185}
{-383/30, -0.03119693222818399}
{-191/15, -0.035606998677694957}
{-127/10, -0.0506479327470273}
{-38/3, -0.03180438871320702}
{-379/30, -0.01917424038765002}
{-63/5, -0.025815633379972874}
{-377/30, -0.039868222780554186}
{-188/15, -0.041189756408196075}
{-25/2, -0.04090736528347067}
{-187/15, -0.043127727198705335}
{-373/30, -0.03474534048197952}
{-62/5, -0.03179032750838947}
{-371/30, -0.030072170132100992}
{-37/3, -0.03721584586198919}
{-123/10, -0.04192539103714568}
{-184/15, -0.04557982517770248}
{-367/30, -0.05703672678724857}
{-61/5, -0.05091807348293112}
{-73/6, -0.03313941741090479}
{-182/15, -0.02784318708667056}
{-121/10, -0.03804567249086006}
{-181/15, -0.048916213709015936}
{-361/30, -0.041454427250441024}
{-12, -0.02873857965002087}
{-359/30, -0.04812083574964839}
{-179/15, -0.07404905154631328}
{-119/10, -0.05147017756443601}
{-178/15, -0.044382042535954146}
{-71/6, -0.05195738895390446}
{-59/5, -0.0435798025966972}
{-353/30, -0.05874196265245708}
{-176/15, -0.05152953465952517}
{-117/10, -0.0561329859720101}
{-35/3, -0.05505375068557154}
{-349/30, -0.04742503605813093}
{-58/5, -0.044464820359705774}
{-347/30, -0.03938626412372532}
{-173/15, -0.047276288709306065}
{-23/2, -0.04572074220917771}
{-172/15, -0.05133241518723328}
{-343/30, -0.05909972433574685}
{-57/5, -0.04436010263533667}
{-341/30, -0.04183682169834113}
{-34/3, -0.05635986017336069}
{-113/10, -0.05888496843824839}
{-169/15, -0.05441098838187212}
{-337/30, -0.04637617383314547}
{-56/5, -0.03897869422684839}
{-67/6, -0.03511908996955927}
{-167/15, -0.045469054063750104}
{-111/10, -0.059347137271670264}
{-166/15, -0.04325074671585061}
{-331/30, -0.019859922361070224}
{-11, -0.04451356047220733}
{-329/30, -0.055798923009358924}
{-164/15, -0.04967440307200416}
{-109/10, -0.0359936284390951}
{-163/15, -0.035583736659437676}
{-65/6, -0.04346983026156321}
{-54/5, -0.045734777432877655}
{-323/30, -0.05501307912488814}
{-161/15, -0.05183512335507207}
{-107/10, -0.05487745404588821}
{-32/3, -0.041282873119687015}
{-319/30, -0.04517908604087256}
{-53/5, -0.06059475069211575}
{-317/30, -0.04532362082339238}
{-158/15, -0.03836065231685685}
{-21/2, -0.032801133938089776}
{-157/15, -0.028834958506471237}
{-313/30, -0.04406949816422148}
{-52/5, -0.03229631621317856}
{-311/30, -0.04632136301296801}
{-31/3, -0.029902494736128524}
{-103/10, -0.030055314362940212}
{-154/15, -0.0501948247627166}
{-307/30, -0.034335462560590745}
{-51/5, -0.01592155656739635}
{-61/6, -0.04070751577287656}
{-152/15, -0.029149262347155907}
{-101/10, -0.04039861217745449}
{-151/15, -0.011187891137620764}
{-301/30, -0.008997605134107915}
{-10, -0.015705163860545858}
{-299/30, -0.01229202202770728}
{-149/15, -0.004379151357099353}
{-99/10, -0.001792168945816713}
{-148/15, 0.014481774919985}
{-59/6, 0.027243923750826318}
{-49/5, 0.03430491813931362}
{-293/30, 0.0266665239974389}
{-146/15, 0.04110777156037397}
{-97/10, 0.041807647379060564}
{-29/3, 0.05708926740850455}
{-289/30, 0.046593167830506}
{-48/5, 0.03967087735722201}
{-287/30, 0.049557158803431124}
{-143/15, 0.053075949208110845}
{-19/2, 0.04634289033863442}
{-142/15, 0.06212044350358973}
{-283/30, 0.05705697908113392}
{-47/5, 0.08023170842361545}
{-281/30, 0.08390414494880379}
{-28/3, 0.0823539102022204}
{-93/10, 0.07375885140626852}
{-139/15, 0.07697089393671902}
{-277/30, 0.07186696157093478}
{-46/5, 0.05460971523533962}
{-55/6, 0.0584612780045699}
{-137/15, 0.07371317561015639}
{-91/10, 0.08732659191250361}
{-136/15, 0.08995441945099561}
{-271/30, 0.07752469750139353}
{-9, 0.08881584823029272}
{-269/30, 0.08822712964608213}
{-134/15, 0.07017351671366867}
{-89/10, 0.07158247852744795}
{-133/15, 0.09627377068653609}
{-53/6, 0.08708046909853731}
{-44/5, 0.07062625513371028}
{-263/30, 0.07895826479129067}
{-131/15, 0.08459497426201645}
{-87/10, 0.07972919266978035}
{-26/3, 0.08272183466272565}
{-259/30, 0.08538814900707892}
{-43/5, 0.08498426806140673}
{-257/30, 0.08946690809342943}
{-128/15, 0.1086748959016353}
{-17/2, 0.09248296840815332}
{-127/15, 0.09261052781009753}
{-253/30, 0.10714278920719299}
{-42/5, 0.09009440132991725}
{-251/30, 0.08490498424182431}
{-25/3, 0.10167145346874831}
{-83/10, 0.116284717314175}
{-124/15, 0.12015864497416799}
{-247/30, 0.12248385937918144}
{-41/5, 0.12203301375903926}
{-49/6, 0.11951415416416557}
{-122/15, 0.12959915424780075}
{-81/10, 0.12181243777906024}
{-121/15, 0.12697692052373943}
{-241/30, 0.1371135133516912}
{-8, 0.14539905686561838}
{-239/30, 0.15609758666794266}
{-119/15, 0.15164629389180084}
{-79/10, 0.1405939586504425}
{-118/15, 0.16210618650587752}
{-47/6, 0.15537650318932703}
{-39/5, 0.13921289936797934}
{-233/30, 0.16390920368440376}
{-116/15, 0.16324092250193836}
{-77/10, 0.17132223166054592}
{-23/3, 0.17462653510745588}
{-229/30, 0.17061379719280778}
{-38/5, 0.18529651193506905}
{-227/30, 0.1618890439340132}
{-113/15, 0.16684782148804767}
{-15/2, 0.17972989113202614}
{-112/15, 0.19575299756214914}
{-223/30, 0.1966562750962243}
{-37/5, 0.21059388651371372}
{-221/30, 0.19948986503545724}
{-22/3, 0.19405401319827487}
{-73/10, 0.2271939816919476}
