{-15, 0.1221716466427305}
{-449/30, 0.12385178055496375}
{-224/15, 0.12136128206443929}
{-149/10, 0.1142657777730221}
{-223/15, 0.11650538558416944}
{-89/6, 0.12101039507204496}
{-74/5, 0.11893874064604278}
{-443/30, 0.11573851332407795}
{-221/15, 0.11167393673579078}
{-147/10, 0.102844320714685}
{-44/3, 0.1059438145157777}
{-439/30, 0.09458551828173642}
{-73/5, 0.09056733946827697}
{-437/30, 0.09245784286839197}
{-218/15, 0.08484477571827134}
{-29/2, 0.07884161787913657}
{-217/15, 0.072117335352732}
{-433/30, 0.07456830065093094}
{-72/5, 0.07484226276547758}
{-431/30, 0.0734878113346826}
{-43/3, 0.07211285670495036}
{-143/10, 0.057669220438972414}
{-214/15, 0.06657993308519132}
{-427/30, 0.06023845245706192}
{-71/5, 0.05429797090233308}
{-85/6, 0.04501328119744245}
{-212/15, 0.05038167104929919}
{-141/10, 0.048130947513643045}
{-211/15, 0.050084120251586914}
{-421/30, 0.04667209119428371}
{-14, 0.033807202438316905}
{-419/30, 0.029620904653619072}
{-209/15, 0.02289517740455791}
{-139/10, 0.01716729666587114}
{-208/15, 0.02199631837186119}
{-83/6, 0.03305290112368885}
{-69/5, 0.03849204746440725}
{-413/30, 0.02799060470310647}
{-206/15, 0.021535357747551505}
{-137/10, 0.020962340415362914}
{-41/3, 0.013463366873265274}
{-409/30, 0.0078960408044781}
{-68/5, 0.004142421019715381}
{-407/30, 0.005998613441975863}
{-203/15, 0.02405104402113951}
{-27/2, 0.012742261081935822}
{-202/15, 0.02406424517092484}
{-403/30, 0.028940272174416908}
{-67/5, 0.030842282624723667}
{-401/30, 0.024121504232024957}
{-40/3, 0.02034749550353178}
{-133/10, 0.03755659341436176}
{-199/15, 0.03200814029264764}
{-397/30, 0.02982787653616797}
{-66/5, 0.02286028303939078}
{-79/6, 0.026450547000156754}
{-197/15, 0.030055269508414532}
{-131/10, 0.015608279684199255}
{-196/15, 0.003791732401057685}
{-391/30, 0.021336978397660012}
{-13, 0.012651750586876771}
{-389/30, 0.01979495330265277}
{-194/15, 0.014807442366730308}
{-129/10, 0.020134078823431118}
{-193/15, 0.024425630387556945}
{-77/6, 0.014203153382696423}
{-64/5, 0.018458083334210222}
{-383/30, 0.01727345535841382}
{-191/15, 0.019328247992443193}
{-127/10, 0.010332047273344854}
{-38/3, 0.018485750624734176}
{-379/30, 0.010408948732066374}
{-63/5, 0.010194181691559959}
{-377/30, 0.0049279182859255566}
{-188/15, 0.005334448691482286}
{-25/2, -0.011177093257082799}
{-187/15, -0.000010598683391902301}
{-373/30, -0.0046204354453494014}
{-62/5, -0.008509239484143095}
{-371/30, 0.008959489345316936}
{-37/3, -0.010777751731613085}
{-123/10, -0.007217016935294237}
{-184/15, -0.0032741840135473706}
{-367/30, -0.006617876814946596}
{-61/5, -0.003675364720079822}
{-73/6, -0.01565030285613934}
{-182/15, -0.011058308691948316}
{-121/10, 0.0004505231987910405}
{-181/15, -0.003788607815674655}
{-361/30, -0.0016311156932532957}
{-12, -0.010981408011741065}
{-359/30, -0.01783800638484968}
{-179/15, -0.023324505762929673}
{-119/10, -0.031601085015570525}
{-178/15, -0.018629433344301484}
{-71/6, -0.023100775210682847}
{-59/5, -0.03106411310029209}
{-353/30, -0.027205241083802977}
{-176/15, -0.021174164272603026}
{-117/10, -0.02165261711400185}
{-35/3, -0.03590286904868158}
{-349/30, -0.031562262467622795}
{-58/5, -0.030745134233746817}
{-347/30, -0.03929934776306582}
{-173/15, -0.043024590050096914}
{-23/2, -0.04415931936142199}
{-172/15, -0.05266209267473255}
{-343/30, -0.05248691281996712}
{-57/5, -0.05664397348873389}
{-341/30, -0.0596993522375351}
{-34/3, -0.04711957078540563}
{-113/10, -0.05886500619668341}
{-169/15, -0.05804843937943737}
{-337/30, -0.05100104252150407}
{-56/5, -0.05883621489748924}
{-67/6, -0.0651364265220758}
{-167/15, -0.04747688857674792}
{-111/10, -0.05382535054256538}
{-166/15, -0.057559739312652285}
{-331/30, -0.06023448981741351}
{-11, -0.06346587955082036}
{-329/30, -0.06154834048213626}
{-164/15, -0.06640310602890213}
{-109/10, -0.06725478637229121}
{-163/15, -0.06346813777805599}
{-65/6, -0.06945095303999836}
{-54/5, -0.07402432042710966}
{-323/30, -0.0717643459991393}
{-161/15, -0.0651563802811624}
{-107/10, -0.062227924652661894}
{-32/3, -0.07479405613582718}
{-319/30, -0.07598175301853266}
{-53/5, -0.07389109409516612}
{-317/30, -0.08109223515492203}
{-158/15, -0.07124540071010707}
{-21/2, -0.06664547926372215}
{-157/15, -0.07114796702912539}
{-313/30, -0.07445528175837757}
{-52/5, -0.07519565048051106}
{-311/30, -0.07740818830547654}
{-31/3, -0.07185232074287767}
{-103/10, -0.08635548629010001}
{-154/15, -0.08288432743027783}
{-307/30, -0.0733116529593801}
{-51/5, -0.07113168111295626}
{-61/6, -0.06730618524338247}
{-152/15, -0.062371354399120796}
{-101/10, -0.05752035810679703}
{-151/15, -0.06309407171752965}
{-301/30, -0.06570697456232961}
{-10, -0.048570483061294634}
{-299/30, -0.047549750535034636}
{-149/15, -0.05358528834552079}
{-99/10, -0.04966702043960002}
{-148/15, -0.042721581601324235}
{-59/6, -0.043969848328471964}
{-49/5, -0.030162942056559266}
{-293/30, -0.028964232298431467}
{-146/15, -0.023535414671911087}
{-97/10, -0.013501149215561182}
{-29/3, -0.016481902115869824}
{-289/30, -0.018927648987704732}
{-48/5, -0.010541149002724817}
{-287/30, 0.0022038658006429054}
{-143/15, 0.006417426598465732}
{-19/2, 0.008706210530885335}
{-142/15, 0.023194094565494802}
{-283/30, 0.012518355864789778}
{-47/5, 0.019127546041553173}
{-281/30, 0.027460171680471712}
{-28/3, 0.0346519808601756}
{-93/10, 0.04248053862562219}
{-139/15, 0.055869970965803026}
{-277/30, 0.05352477442806013}
{-46/5, 0.06220857385987337}
{-55/6, 0.06497079190291434}
{-137/15, 0.060126555737658245}
{-91/10, 0.06795357480649057}
{-136/15, 0.06672166638270353}
{-271/30, 0.06994912556388726}
{-9, 0.08127525008314827}
{-269/30, 0.08899079435101118}
{-134/15, 0.08735508190042592}
{-89/10, 0.08849176208709003}
{-133/15, 0.09289925259541218}
{-53/6, 0.08993642994512516}
{-44/5, 0.09697734672203079}
{-263/30, 0.09211704031040599}
{-131/15, 0.0992568697758851}
{-87/10, 0.10018211462922869}
{-26/3, 0.10024382949177965}
{-259/30, 0.10690652088030515}
{-43/5, 0.10570902870539525}
{-257/30, 0.10738212680049954}
{-128/15, 0.10366632553639027}
{-17/2, 0.12066418908087552}
{-127/15, 0.1243028746288285}
{-253/30, 0.13295925332001254}
{-42/5, 0.13741902969171907}
{-251/30, 0.13577864906534767}
{-25/3, 0.13266120743593116}
{-83/10, 0.14435281722392077}
{-124/15, 0.14048427793514293}
{-247/30, 0.14023697539638222}
{-41/5, 0.14279209020328745}
{-49/6, 0.13583744119052563}
{-122/15, 0.1481538909861742}
{-81/10, 0.13863392513818004}
{-121/15, 0.1616249560282931}
{-241/30, 0.15260064549618274}
{-8, 0.14968231002503096}
{-239/30, 0.1623297617296137}
{-119/15, 0.1651751160575162}
{-79/10, 0.1671677399086394}
{-118/15, 0.1700936707346363}
{-47/6, 0.17953754518414788}
{-39/5, 0.1872850017625352}
{-233/30, 0.1744659219207886}
{-116/15, 0.190557831021473}
{-77/10, 0.19503360595848077}
{-23/3, 0.19450265368641229}
{-229/30, 0.1988951830783892}
{-38/5, 0.1902277466848865}
{-227/30, 0.1985717587733401}
{-113/15, 0.2035925189282283}
{-15/2, 0.20377052613940275}
{-112/15, 0.20690217766622798}
{-223/30, 0.21158311658215825}
{-37/5, 0.2114327232068993}
{-221/30, 0.20640865603561384}
{-22/3, 0.20163956620946444}
{-73/10, 0.22137788551265294}
{-109/15, 0.2150085582130772}
{-217/30, 0.2196689635254119}
{-36/5, 0.21884590624819442}
{-43/6, 0.22313007232829735}
{-107/15, 0.22081553677747806}
{-71/10, 0.229119139615402}
{-106/15, 0.24228699218423866}
{-211/30, 0.24148043073600597}
{-7, 0.24646315464869636}
{-209/30, 0.24004235686758493}
{-104/15, 0.24531628521722265}
{-69/10, 0.24230304831243932}
{-103/15, 0.25330839653340753}
{-41/6, 0.23534024269871967}
{-34/5, 0.22309336875170055}
{-203/30, 0.23829036934664258}
{-101/15, 0.24988080625828307}
{-67/10, 0.2637590682795975}
{-20/3, 0.25136777234808977}
{-199/30, 0.24908115563660138}
{-33/5, 0.2581017059752291}
{-197/30, 0.27210503157231647}
{-98/15, 0.27889577679245176}
{-13/2, 0.27381576437014776}
{-97/15, 0.2763312137765061}
{-193/30, 0.2706631901980932}
{-32/5, 0.2675824046237663}
{-191/30, 0.27877297084981456}
{-19/3, 0.26975156818612095}
{-63/10, 0.27322670199663207}
{-94/15, 0.2688155035354727}
{-187/30, 0.28829006458215944}
{-31/5, 0.29791445437457487}
{-37/6, 0.28837393861895927}
{-92/15, 0.311493901885765}
{-61/10, 0.3101146761805554}
{-91/15, 0.3059686715282599}
{-181/30, 0.31122445907667223}
{-6, 0.3166391893046954}
{-179/30, 0.3089168412541195}
{-89/15, 0.31090433188016914}
{-59/10, 0.3091598071409886}
{-88/15, 0.3139638771177513}
{-35/6, 0.2951304632867334}
{-29/5, 0.300825267821971}
{-173/30, 0.3060760610404912}
{-86/15, 0.29685556697887927}
{-57/10, 0.29761132456255823}
{-17/3, 0.2972310516805966}
{-169/30, 0.2912240790667915}
{-28/5, 0.2987211134918829}
{-167/30, 0.2987521283252057}
{-83/15, 0.29946764480136506}
{-11/2, 0.2805321665050246}
{-82/15, 0.28911220390801945}
{-163/30, 0.28326264538609114}
{-27/5, 0.2920652115262672}
{-161/30, 0.29190211017104745}
{-16/3, 0.2869604037081566}
{-53/10, 0.2917949436756716}
{-79/15, 0.28688847808385276}
{-157/30, 0.2934220643414671}
{-26/5, 0.29693232602161485}
{-31/6, 0.3022851148306454}
{-77/15, 0.3064838895753377}
{-51/10, 0.2980656151601756}
{-76/15, 0.3030656948040451}
{-151/30, 0.30412671574274297}
{-5, 0.30801535429703053}
{-149/30, 0.29789523106734084}
{-74/15, 0.29018237294112564}
{-49/10, 0.2942680642285889}
{-73/15, 0.3151884722280765}
{-29/6, 0.31222187562364134}
{-24/5, 0.29787779852470914}
{-143/30, 0.2962607224502269}
{-71/15, 0.30925850428862406}
{-47/10, 0.3000932812293134}
{-14/3, 0.2930229367377596}
{-139/30, 0.2940577748044228}
{-23/5, 0.27230281027561615}
{-137/30, 0.28056455000222247}
{-68/15, 0.2933110733978613}
{-9/2, 0.2848911944218371}
{-67/15, 0.2896829008845844}
{-133/30, 0.28327363387825205}
{-22/5, 0.2695364592565665}
{-131/30, 0.2734895710820179}
{-13/3, 0.2690156376659707}
{-43/10, 0.2644246113956881}
{-64/15, 0.25110005271364727}
{-127/30, 0.25999114171308263}
{-21/5, 0.28134013329665875}
{-25/6, 0.2808640831921368}
{-62/15, 0.2610027454905657}
{-41/10, 0.2564601885884379}
{-61/15, 0.27381786393740487}
{-121/30, 0.27102171580188383}
{-4, 0.253783186348929}
{-119/30, 0.2374769087361985}
{-59/15, 0.27020669348246357}
{-39/10, 0.2774141189283006}
{-58/15, 0.2522240875725292}
