{-15, 0.149710662678659}
{-449/30, 0.1519545735417988}
{-224/15, 0.1290911600929716}
{-149/10, 0.1413265083034001}
{-223/15, 0.1497430440405138}
{-89/6, 0.13811752156966522}
{-74/5, 0.13995692557731046}
{-443/30, 0.13002869756486607}
{-221/15, 0.15408635385867464}
{-147/10, 0.15253682627190962}
{-44/3, 0.13657668994335906}
{-439/30, 0.13640474848167777}
{-73/5, 0.12954393794960523}
{-437/30, 0.1289507739766356}
{-218/15, 0.13628837352291862}
{-29/2, 0.14098117761280776}
{-217/15, 0.14182533697442362}
{-433/30, 0.12684768835862803}
{-72/5, 0.12101988333272716}
{-431/30, 0.1252500512093091}
{-43/3, 0.11946008697553197}
{-143/10, 0.10789486389120838}
{-214/15, 0.10413238691010236}
{-427/30, 0.10042735716404229}
{-71/5, 0.10464366159481728}
{-85/6, 0.1044464699017548}
{-212/15, 0.09508911036800025}
{-141/10, 0.09191040147356389}
{-211/15, 0.0866879207631695}
{-421/30, 0.08502889152564182}
{-14, 0.08048588568625058}
{-419/30, 0.07677188347052522}
{-209/15, 0.08640812624271763}
{-139/10, 0.06898932339796111}
{-208/15, 0.07234121506696306}
{-83/6, 0.06200218596342737}
{-69/5, 0.07024592793428452}
{-413/30, 0.058608795187655216}
{-206/15, 0.06689520097965246}
{-137/10, 0.05044835739626999}
{-41/3, 0.05722540941885752}
{-409/30, 0.04854148746246848}
{-68/5, 0.03288880523753454}
{-407/30, 0.0414816337003687}
{-203/15, 0.03252485527688188}
{-27/2, 0.037755551329367386}
{-202/15, 0.038329128189369836}
{-403/30, 0.02725045763478219}
{-67/5, 0.027929784432674482}
{-401/30, 0.04022542354721319}
{-40/3, 0.020810486267995344}
{-133/10, 0.011640183594263446}
{-199/15, 0.02098877322979044}
{-397/30, 0.007184522654217168}
{-66/5, 0.0046387874876193565}
{-79/6, 0.0032324490439254805}
{-197/15, -0.008363787864199081}
{-131/10, 0.01396176555644554}
{-196/15, 0.0037751599668822606}
{-391/30, 0.002090319602093792}
{-13, 0.006423924274540776}
{-389/30, 0.00762762975140982}
{-194/15, 0.017741453775625658}
{-129/10, -0.002962718100008565}
{-193/15, 0.007090942758311213}
{-77/6, 0.00561447621331592}
{-64/5, 0.01780755391884481}
{-383/30, 0.009311383623961948}
{-191/15, -0.004353721100172264}
{-127/10, -0.006139187225859562}
{-38/3, -0.0077021518722663745}
{-379/30, -0.00872973426756952}
{-63/5, -0.0008471576994442334}
{-377/30, -0.0052018670752019104}
{-188/15, -0.024045580513524907}
{-25/2, -0.018569418366751484}
{-187/15, -0.018169821446038764}
{-373/30, -0.010715561226012693}
{-62/5, -0.015992326771080798}
{-371/30, -0.019661751528047125}
{-37/3, -0.02523800524285145}
{-123/10, -0.03143086228734278}
{-184/15, -0.0344406807883941}
{-367/30, -0.04665201622702461}
{-61/5, -0.0368891779686001}
{-73/6, -0.025220994157052166}
{-182/15, -0.028345019279355604}
{-121/10, -0.03310276855724854}
{-181/15, -0.04033203223429012}
{-361/30, -0.05247366765944345}
{-12, -0.04065072295148542}
{-359/30, -0.04347103921027895}
{-179/15, -0.04838215100069767}
{-119/10, -0.042397322164068336}
{-178/15, -0.055962233290236196}
{-71/6, -0.05140189904118346}
{-59/5, -0.048197528322897455}
{-353/30, -0.047481163297883974}
{-176/15, -0.03886961404580973}
{-117/10, -0.0596559508839977}
{-35/3, -0.04989617597464737}
{-349/30, -0.05025278339167124}
{-58/5, -0.05615049710834407}
{-347/30, -0.05861391903350474}
{-173/15, -0.07367314414710592}
{-23/2, -0.06098477369876865}
{-172/15, -0.06477709264534677}
{-343/30, -0.08324417791407968}
{-57/5, -0.06662464428229006}
{-341/30, -0.08752363166071578}
{-34/3, -0.09897890331116325}
{-113/10, -0.0800614931754492}
{-169/15, -0.08141423003453253}
{-337/30, -0.09276083741435114}
{-56/5, -0.07790204851425149}
{-67/6, -0.0914472560055399}
{-167/15, -0.07851532064089886}
{-111/10, -0.0773839261735672}
{-166/15, -0.0864779691739522}
{-331/30, -0.08498623581543939}
{-11, -0.09101374541433337}
{-329/30, -0.08405563793800529}
{-164/15, -0.07514092277625099}
{-109/10, -0.06462704118984094}
{-163/15, -0.08279771491768934}
{-65/6, -0.0817908738908544}
{-54/5, -0.09763855765491176}
{-323/30, -0.08518490256887888}
{-161/15, -0.07332819399694954}
{-107/10, -0.08004743033504022}
{-32/3, -0.0830048858791195}
{-319/30, -0.0994737032544983}
{-53/5, -0.09031601699760411}
{-317/30, -0.09291739247730908}
{-158/15, -0.06923038648786903}
{-21/2, -0.08261409913318876}
{-157/15, -0.08612479307394988}
{-313/30, -0.09397232839317475}
{-52/5, -0.0905238905540207}
{-311/30, -0.09379985884395572}
{-31/3, -0.09406777639183196}
{-103/10, -0.08163142655227215}
{-154/15, -0.06937719271567673}
{-307/30, -0.08112106076853896}
{-51/5, -0.08147975154856268}
{-61/6, -0.06633619663994611}
{-152/15, -0.0661801713151209}
{-101/10, -0.06321510503835542}
{-151/15, -0.06811515413067357}
{-301/30, -0.06548759982866106}
{-10, -0.078918830215141}
{-299/30, -0.06655421553263616}
{-149/15, -0.052099602331080894}
{-99/10, -0.06414821063806068}
{-148/15, -0.057380133831746775}
{-59/6, -0.048410399358496684}
{-49/5, -0.0626392384789946}
{-293/30, -0.0595695184939118}
{-146/15, -0.032273468813365964}
{-97/10, -0.03368630411797138}
{-29/3, -0.04514794914057062}
{-289/30, -0.032596603150678985}
{-48/5, -0.02160665227789993}
{-287/30, -0.029855709203064434}
{-143/15, -0.010249396476435914}
{-19/2, -0.019947679692392056}
{-142/15, -0.019715561397501552}
{-283/30, -0.00941766266471084}
{-47/5, -0.02829343987652635}
{-281/30, -0.014199208418002247}
{-28/3, 0.005941302274026165}
{-93/10, 0.0044295578389566825}
{-139/15, 0.015903337596023574}
{-277/30, 0.014243411648351965}
{-46/5, 0.018397091831705993}
{-55/6, 0.02456101865325505}
{-137/15, 0.034736319995567276}
{-91/10, 0.026082553539750065}
{-136/15, 0.019498014262015865}
{-271/30, 0.04352427340532689}
{-9, 0.04666455201094917}
{-269/30, 0.03498176176900035}
{-134/15, 0.029516280326811847}
{-89/10, 0.02995231154066971}
{-133/15, 0.04903142364171432}
{-53/6, 0.054789447326189046}
{-44/5, 0.08367515005320142}
{-263/30, 0.06539065158887386}
{-131/15, 0.06469782874761665}
{-87/10, 0.06763676418547536}
{-26/3, 0.06554084135251265}
{-259/30, 0.0773872795395742}
{-43/5, 0.07671592476831707}
{-257/30, 0.07516582882586141}
{-128/15, 0.07969136924602517}
{-17/2, 0.09498494876165194}
{-127/15, 0.1017589928342054}
{-253/30, 0.09437420011355954}
{-42/5, 0.09317143929211416}
{-251/30, 0.10237008060079378}
{-25/3, 0.11355733308801698}
{-83/10, 0.10945151824323801}
{-124/15, 0.126072912696109}
{-247/30, 0.11484498519755416}
{-41/5, 0.11788509174683623}
{-49/6, 0.12212173162933836}
{-122/15, 0.10668244590304933}
{-81/10, 0.11915244171121604}
{-121/15, 0.12124621432490758}
{-241/30, 0.1278561839293532}
{-8, 0.12287500097514342}
{-239/30, 0.128921158662027}
{-119/15, 0.1393379192208073}
{-79/10, 0.13918796405856912}
{-118/15, 0.14249114007935088}
{-47/6, 0.1592752744040393}
{-39/5, 0.15241164962642584}
{-233/30, 0.1498570615624497}
{-116/15, 0.17900304822064117}
{-77/10, 0.17016193952730732}
{-23/3, 0.16595120003737593}
{-229/30, 0.16370186433966558}
{-38/5, 0.17567612801368268}
{-227/30, 0.1750807714063773}
{-113/15, 0.17485282819032508}
{-15/2, 0.16102786915354766}
{-112/15, 0.16633092583473505}
{-223/30, 0.18217806766385594}
{-37/5, 0.1785499993478281}
{-221/30, 0.19749885062462363}
{-22/3, 0.20377133511333823}
{-73/10, 0.18030749448841063}
{-109/15, 0.1873297020119461}
{-217/30, 0.18984820476116754}
{-36/5, 0.18981837022355222}
{-43/6, 0.19421039597818607}
{-107/15, 0.21067890654093427}
{-71/10, 0.19798570044119831}
{-106/15, 0.1968573673430566}
{-211/30, 0.21632977138819676}
{-7, 0.21178539664903018}
{-209/30, 0.21096654199682108}
{-104/15, 0.190875472848384}
{-69/10, 0.20235005107833282}
{-103/15, 0.19109220505176558}
{-41/6, 0.2059725692947455}
{-34/5, 0.21468396311728571}
{-203/30, 0.21052578985596185}
