{-Pi, -0.13807698656208797}
{(-31*Pi)/32, -0.13125588521516693}
{(-15*Pi)/16, -0.12998284082013284}
{(-29*Pi)/32, -0.11685074329499126}
{(-7*Pi)/8, -0.10754857834662444}
{(-27*Pi)/32, -0.09468720578146712}
{(-13*Pi)/16, -0.09125980729396}
{(-25*Pi)/32, -0.06656538281415718}
{(-3*Pi)/4, -0.05491205016945496}
{(-23*Pi)/32, -0.03483235907651292}
{(-11*Pi)/16, -0.01884783577072443}
{(-21*Pi)/32, -0.005784774070449187}
{(-5*Pi)/8, 0.008381653198979032}
{(-19*Pi)/32, 0.03704680139696144}
{(-9*Pi)/16, 0.045933118620737796}
{(-17*Pi)/32, 0.0709521662058078}
{-Pi/2, 0.08628271154002568}
{(-15*Pi)/32, 0.09138159798374577}
{(-7*Pi)/16, 0.11927848363912533}
{(-13*Pi)/32, 0.1219947780088007}
{(-3*Pi)/8, 0.1344585247880538}
{(-11*Pi)/32, 0.15442175916153852}
{(-5*Pi)/16, 0.17083233528984798}
{(-9*Pi)/32, 0.16629757220335825}
{-Pi/4, 0.18181446668678503}
{(-7*Pi)/32, 0.18715258145968205}
{(-3*Pi)/16, 0.1957416559552637}
{(-5*Pi)/32, 0.21034395624299282}
{-Pi/8, 0.19682409317457486}
{(-3*Pi)/32, 0.21358773690859256}
{-Pi/16, 0.20700676722618996}
{-Pi/32, 0.21060142197577164}
{0, 0.16956909664995812}
{Pi/32, 0.16041509464674253}
{Pi/16, 0.1551565292943844}
{(3*Pi)/32, 0.1439097561169511}
{Pi/8, 0.13718616405725015}
{(5*Pi)/32, 0.12962441727802732}
{(3*Pi)/16, 0.11074585071848667}
{(7*Pi)/32, 0.10078919863795119}
{Pi/4, 0.09904818575986572}
{(9*Pi)/32, 0.06655711102003466}
{(5*Pi)/16, 0.073331738589566}
{(11*Pi)/32, 0.049867552013199555}
{(3*Pi)/8, 0.043689554596447404}
{(13*Pi)/32, 0.02041648778673071}
{(7*Pi)/16, 0.01608467203523586}
{(15*Pi)/32, 0.0008209841896038495}
{Pi/2, -0.004760002022519103}
{(17*Pi)/32, -0.01925586322322523}
{(9*Pi)/16, -0.03205928898768875}
{(19*Pi)/32, -0.038518409489214984}
{(5*Pi)/8, -0.050270043720593}
{(21*Pi)/32, -0.05757119521414806}
{(11*Pi)/16, -0.07815129316600601}
{(23*Pi)/32, -0.07013607854571845}
{(3*Pi)/4, -0.08258564379597098}
{(25*Pi)/32, -0.10046256474029723}
{(13*Pi)/16, -0.11227500301696496}
{(27*Pi)/32, -0.13275437413794058}
{(7*Pi)/8, -0.11656511834247942}
{(29*Pi)/32, -0.14188329719605738}
{(15*Pi)/16, -0.13304653648024523}
{(31*Pi)/32, -0.14149555867380514}
