{-Pi, -0.10081950340716642}
{(-31*Pi)/32, -0.08292272543423308}
{(-15*Pi)/16, -0.08068557062918454}
{(-29*Pi)/32, -0.06465958286889645}
{(-7*Pi)/8, -0.054475060181054316}
{(-27*Pi)/32, -0.0347610682364153}
{(-13*Pi)/16, -0.02625375819299451}
{(-25*Pi)/32, -0.001530253820599919}
{(-3*Pi)/4, 0.005355829307186409}
{(-23*Pi)/32, 0.016781831881206362}
{(-11*Pi)/16, 0.02370168134289463}
{(-21*Pi)/32, 0.04732089807175316}
{(-5*Pi)/8, 0.06262966441586731}
{(-19*Pi)/32, 0.07895229579593022}
{(-9*Pi)/16, 0.09740831623588814}
{(-17*Pi)/32, 0.10705135481652142}
{-Pi/2, 0.11380257342413527}
{(-15*Pi)/32, 0.12599912234022553}
{(-7*Pi)/16, 0.13443569069800115}
{(-13*Pi)/32, 0.14673913934041816}
{(-3*Pi)/8, 0.14817072201531012}
{(-11*Pi)/32, 0.1479523696388122}
{(-5*Pi)/16, 0.16326653393888696}
{(-9*Pi)/32, 0.16453756922480545}
{-Pi/4, 0.17838691360374043}
{(-7*Pi)/32, 0.1411138972690128}
{(-3*Pi)/16, 0.1681634408599701}
{(-5*Pi)/32, 0.17310360134046857}
{-Pi/8, 0.17766923440339166}
{(-3*Pi)/32, 0.17559632112776144}
{-Pi/16, 0.17058442713598948}
{-Pi/32, 0.1425291484079519}
{0, 0.12702925876620108}
{Pi/32, 0.12152601261203208}
{Pi/16, 0.10697422812690642}
{(3*Pi)/32, 0.10324485344735967}
{Pi/8, 0.07672550146488048}
{(5*Pi)/32, 0.0687300803179964}
{(3*Pi)/16, 0.052226260341119796}
{(7*Pi)/32, 0.045530949051654085}
{Pi/4, 0.02638271252695635}
{(9*Pi)/32, 0.0038120021995188607}
{(5*Pi)/16, 0.008973118429343797}
{(11*Pi)/32, -0.026367959595401287}
{(3*Pi)/8, -0.03603651909920033}
{(13*Pi)/32, -0.04455146839497438}
{(7*Pi)/16, -0.05193217153395684}
{(15*Pi)/32, -0.07311295629440145}
{Pi/2, -0.0744489989961549}
{(17*Pi)/32, -0.0716943635042743}
{(9*Pi)/16, -0.0909105922718248}
{(19*Pi)/32, -0.09014115848839235}
{(5*Pi)/8, -0.07887370012613037}
{(21*Pi)/32, -0.08038337000397004}
{(11*Pi)/16, -0.059575714643377256}
{(23*Pi)/32, -0.07078376779696063}
{(3*Pi)/4, -0.09768881958805019}
{(25*Pi)/32, -0.050222483301254214}
{(13*Pi)/16, -0.06290100636944977}
{(27*Pi)/32, -0.06902576893695929}
{(7*Pi)/8, -0.057219825682758754}
{(29*Pi)/32, -0.09776136651195833}
{(15*Pi)/16, -0.10210531500773284}
{(31*Pi)/32, -0.11155219968421821}
