{-15, 0.08403485392666661}
{-449/30, 0.06295278179458585}
{-224/15, 0.08679986602080153}
{-149/10, 0.09580148433339908}
{-223/15, 0.08111917204577439}
{-89/6, 0.06767854163767208}
{-74/5, 0.054003437672971465}
{-443/30, 0.06403422934604525}
{-221/15, 0.06266246618466016}
{-147/10, 0.05996282224553889}
{-44/3, 0.070368115279669}
{-439/30, 0.08189940541267575}
{-73/5, 0.07093698682539633}
{-437/30, 0.06823611347662416}
{-218/15, 0.06117143995313486}
{-29/2, 0.06332671959595576}
{-217/15, 0.05400413706182167}
{-433/30, 0.05588382129729609}
{-72/5, 0.060062114720662634}
{-431/30, 0.06637327271623485}
{-43/3, 0.07888429665159136}
{-143/10, 0.07644584271828907}
{-214/15, 0.06691763658095821}
{-427/30, 0.052788859298230954}
{-71/5, 0.05903073416279109}
{-85/6, 0.05051609105521176}
{-212/15, 0.05836040095412264}
{-141/10, 0.04742375046144264}
{-211/15, 0.03585308557812076}
{-421/30, 0.03995453012582334}
{-14, 0.042185459815266294}
{-419/30, 0.04021487515237894}
{-209/15, 0.03580933112045006}
{-139/10, 0.03628776267493134}
{-208/15, 0.03892073348980151}
{-83/6, 0.05532386065981894}
{-69/5, 0.058242883705082855}
{-413/30, 0.03861428386798673}
{-206/15, 0.04002151770320993}
{-137/10, 0.040102582288035676}
{-41/3, 0.031220983571946855}
{-409/30, 0.02796561055552223}
{-68/5, 0.034758222367743494}
{-407/30, 0.03591585296351613}
{-203/15, 0.03124269898779116}
{-27/2, 0.022923890433974227}
{-202/15, 0.02609352268155859}
{-403/30, 0.029154472086042663}
{-67/5, 0.003971067530933349}
{-401/30, 0.006933247240394728}
{-40/3, 0.0046533123590301664}
{-133/10, 0.015702439629991155}
{-199/15, 0.018345733627483398}
{-397/30, 0.018030707337616723}
{-66/5, 0.005648433668451041}
{-79/6, 0.008033652119127153}
{-197/15, 0.0021801008106802455}
{-131/10, 0.005656095821578192}
{-196/15, -0.004998409969887139}
{-391/30, 0.0008453458264961967}
{-13, 0.009655097668808505}
{-389/30, -0.004155626616351713}
{-194/15, -0.01128756970734225}
{-129/10, -0.016716310660417944}
{-193/15, -0.008230954068769161}
{-77/6, -0.014144307159268912}
{-64/5, -0.03055045883380379}
{-383/30, -0.007834503624461206}
{-191/15, -0.01567640157064157}
{-127/10, -0.011938216845401806}
{-38/3, -0.017418867795148507}
{-379/30, -0.024949441020206287}
{-63/5, -0.004837778500606785}
{-377/30, -0.006425893145920158}
{-188/15, 0.003733373780234481}
{-25/2, 0.002552281820312146}
{-187/15, -0.0074758845079652275}
{-373/30, -0.02291632766665982}
{-62/5, -0.011609857805860576}
{-371/30, -0.007993516710020378}
{-37/3, -0.009896862344390765}
