{-Pi, 0.014969783359790835}
{(-31*Pi)/32, 0.024131247648213276}
{(-15*Pi)/16, 0.03362780555740788}
{(-29*Pi)/32, 0.0263385209769011}
{(-7*Pi)/8, 0.028761874546041052}
{(-27*Pi)/32, 0.020289807429774966}
{(-13*Pi)/16, 0.021180765096850386}
{(-25*Pi)/32, 0.02787288092463206}
{(-3*Pi)/4, 0.02128863130339853}
{(-23*Pi)/32, 0.013929544484112068}
{(-11*Pi)/16, 0.017172270051548578}
{(-21*Pi)/32, 0.01982564264668918}
{(-5*Pi)/8, 0.010422545496177708}
{(-19*Pi)/32, 0.023000039019942405}
{(-9*Pi)/16, 0.02014212759038843}
{(-17*Pi)/32, 0.012510933359817445}
{-Pi/2, 0.03128179574506808}
{(-15*Pi)/32, 0.02108728242344161}
{(-7*Pi)/16, 0.020828987197894}
{(-13*Pi)/32, 0.0257091973457596}
{(-3*Pi)/8, 0.020199243808874265}
{(-11*Pi)/32, 0.01320941992908274}
{(-5*Pi)/16, 0.001432105651952746}
{(-9*Pi)/32, -0.014516747092110715}
{-Pi/4, -0.009066263938950233}
{(-7*Pi)/32, 0.030573943285281305}
{(-3*Pi)/16, 0.003803291595674588}
{(-5*Pi)/32, 0.00001788150640571211}
{-Pi/8, -0.00853564371954054}
{(-3*Pi)/32, -0.008874305681039352}
{-Pi/16, -0.025631198441530324}
{-Pi/32, -0.00555061924206497}
{0, -0.05112715146777694}
{Pi/32, -0.05458123239966216}
{Pi/16, -0.04973189008659606}
{(3*Pi)/32, -0.053302321455970164}
{Pi/8, -0.04857799642214196}
{(5*Pi)/32, -0.07064514718744505}
{(3*Pi)/16, -0.04050111265664598}
{(7*Pi)/32, -0.0674140683567955}
{Pi/4, -0.062413054878374785}
{(9*Pi)/32, -0.05845491030740911}
{(5*Pi)/16, -0.06789914215508937}
{(11*Pi)/32, -0.0704728058421602}
{(3*Pi)/8, -0.06255061917969607}
{(13*Pi)/32, -0.07810904274042532}
{(7*Pi)/16, -0.06988862843876845}
{(15*Pi)/32, -0.06297762717508104}
{Pi/2, -0.07490966289683956}
{(17*Pi)/32, -0.08389391321381373}
{(9*Pi)/16, -0.08955155129008854}
{(19*Pi)/32, -0.07053764190759791}
{(5*Pi)/8, -0.06944039888421595}
{(21*Pi)/32, -0.07236233763066979}
{(11*Pi)/16, -0.06143730651196243}
{(23*Pi)/32, -0.07090444682119527}
{(3*Pi)/4, -0.07845153551313136}
{(25*Pi)/32, -0.054380728444751676}
{(13*Pi)/16, -0.05482466642398457}
{(27*Pi)/32, -0.050676523100750354}
{(7*Pi)/8, -0.045945841933630535}
{(29*Pi)/32, -0.030953061794447137}
{(15*Pi)/16, -0.041430794225867776}
{(31*Pi)/32, -0.029277384346288824}
