{-15, 0.08343625055269674}
{-449/30, 0.06543742741259366}
{-224/15, 0.06171241569332192}
{-149/10, 0.06253230904155878}
{-223/15, 0.05187488134848628}
{-89/6, 0.0500657807800497}
{-74/5, 0.05232977461191567}
{-443/30, 0.04770875632548458}
{-221/15, 0.04306474722155781}
{-147/10, 0.038090381474997166}
{-44/3, 0.03237331720344161}
{-439/30, 0.026283176240894185}
{-73/5, 0.019613261788182262}
{-437/30, 0.019094142013676478}
{-218/15, 0.017479070404064493}
{-29/2, 0.023149906040222705}
{-217/15, 0.016228269695289156}
{-433/30, 0.009745744403453301}
{-72/5, 0.01550257760586524}
{-431/30, 0.012896219336605546}
{-43/3, 0.004670916243741598}
{-143/10, -0.0016196246548286753}
{-214/15, 0.0007610457490517814}
{-427/30, 0.002218275933566262}
{-71/5, -0.004986717314332189}
{-85/6, -0.0029786341039713168}
{-212/15, -0.0027976621196117786}
{-141/10, -0.005938645127670737}
{-211/15, -0.005195746955048279}
{-421/30, -0.008747615184656199}
{-14, -0.008667912982071767}
{-419/30, -0.007011797910241836}
{-209/15, -0.009070465075714879}
{-139/10, -0.005481632568090435}
{-208/15, -0.011445205409248618}
{-83/6, -0.010218287921168693}
{-69/5, -0.004490524472638331}
{-413/30, -0.009862487251198164}
{-206/15, -0.004151104793535502}
{-137/10, -0.01367520420373389}
{-41/3, -0.023110174873548953}
{-409/30, -0.01774522219842859}
{-68/5, -0.02017423613942862}
{-407/30, -0.01616102705944635}
{-203/15, -0.012864868777759143}
{-27/2, -0.013753528350842563}
{-202/15, -0.016247494066923426}
{-403/30, -0.01715353257738413}
{-67/5, -0.018544761658261407}
{-401/30, -0.019987492405299085}
{-40/3, -0.019542080245802274}
{-133/10, -0.012640320068694927}
{-199/15, -0.012619167875024045}
{-397/30, -0.022308240052370594}
{-66/5, -0.026507692098366807}
{-79/6, -0.026278616023767732}
{-197/15, -0.030250302729702236}
{-131/10, -0.02996204957775062}
{-196/15, -0.033513763431614156}
{-391/30, -0.0324939477963449}
{-13, -0.03096896543988632}
{-389/30, -0.031670817222906406}
{-194/15, -0.025372576392519847}
{-129/10, -0.023929343994058206}
{-193/15, -0.01794898713332249}
{-77/6, -0.016866544156703474}
{-64/5, -0.019831698889119113}
{-383/30, -0.016301960812578235}
{-191/15, -0.011155653027044972}
{-127/10, -0.0024973630214491834}
{-38/3, -0.004564623997798218}
{-379/30, -0.009163313504918802}
