{-Pi, 0.08980598895065815}
{(-31*Pi)/32, 0.09142950903190157}
{(-15*Pi)/16, 0.0924245889983197}
{(-29*Pi)/32, 0.10670648138765819}
{(-7*Pi)/8, 0.11200164943865441}
{(-27*Pi)/32, 0.09520769777903758}
{(-13*Pi)/16, 0.1084903391294063}
{(-25*Pi)/32, 0.11044304501062374}
{(-3*Pi)/4, 0.10373985635927506}
{(-23*Pi)/32, 0.1019397859285514}
{(-11*Pi)/16, 0.11183114349612759}
{(-21*Pi)/32, 0.09314475394423959}
{(-5*Pi)/8, 0.1059757270041534}
{(-19*Pi)/32, 0.09063161681076833}
{(-9*Pi)/16, 0.1036154516330219}
{(-17*Pi)/32, 0.08725011209097883}
{-Pi/2, 0.08824731935639957}
{(-15*Pi)/32, 0.09079265564682101}
{(-7*Pi)/16, 0.08317123516839718}
{(-13*Pi)/32, 0.09059705444662895}
{(-3*Pi)/8, 0.08383597423543138}
{(-11*Pi)/32, 0.08465625536183635}
{(-5*Pi)/16, 0.07140156019418184}
{(-9*Pi)/32, 0.07527443306595938}
{-Pi/4, 0.0710257284041718}
{(-7*Pi)/32, 0.05971931554655377}
{(-3*Pi)/16, 0.05834833189536969}
{(-5*Pi)/32, 0.05468990662108974}
{-Pi/8, 0.07513487027208016}
{(-3*Pi)/32, 0.059083045405657245}
{-Pi/16, 0.04332013749934905}
{-Pi/32, 0.040038572215213175}
{0, 0.00031418686118729947}
{Pi/32, -0.010591470761447654}
{Pi/16, -0.016884563238670984}
{(3*Pi)/32, -0.027035194036150918}
{Pi/8, -0.03137221324348252}
{(5*Pi)/32, -0.046023301120646475}
{(3*Pi)/16, -0.04409221614751362}
{(7*Pi)/32, -0.06227951463865374}
{Pi/4, -0.07491730197260542}
{(9*Pi)/32, -0.06181393479481578}
{(5*Pi)/16, -0.07555278882376494}
{(11*Pi)/32, -0.0706979329754284}
{(3*Pi)/8, -0.08529201087620865}
{(13*Pi)/32, -0.06897399045742707}
{(7*Pi)/16, -0.08145612128917486}
{(15*Pi)/32, -0.0744410284357606}
{Pi/2, -0.08045594379900572}
{(17*Pi)/32, -0.07858167222854694}
{(9*Pi)/16, -0.0645567846988853}
{(19*Pi)/32, -0.06847455853199678}
{(5*Pi)/8, -0.07558346114629345}
{(21*Pi)/32, -0.0610012546930167}
{(11*Pi)/16, -0.06007210454736679}
{(23*Pi)/32, -0.06698379234900119}
{(3*Pi)/4, -0.08504928115482052}
{(25*Pi)/32, -0.07077786580377311}
{(13*Pi)/16, -0.06437861192931517}
{(27*Pi)/32, -0.0619233480511309}
{(7*Pi)/8, -0.06750749298875597}
{(29*Pi)/32, -0.04044754183417801}
{(15*Pi)/16, -0.011284165180256907}
{(31*Pi)/32, 0.016587103412882262}
