{-Pi, 0.009916605723220995}
{(-31*Pi)/32, 0.014168126911472574}
{(-15*Pi)/16, 0.00914838533095808}
{(-29*Pi)/32, 0.022361979173337206}
{(-7*Pi)/8, 0.017104742682211502}
{(-27*Pi)/32, 0.02249338531520844}
{(-13*Pi)/16, 0.019288252686242527}
{(-25*Pi)/32, 0.02654537724521094}
{(-3*Pi)/4, 0.0311591122603777}
{(-23*Pi)/32, 0.03703081845153922}
{(-11*Pi)/16, 0.02696639193556837}
{(-21*Pi)/32, 0.03638430383188413}
{(-5*Pi)/8, 0.0450770624404194}
{(-19*Pi)/32, 0.03608313801010586}
{(-9*Pi)/16, 0.041369293530079135}
{(-17*Pi)/32, 0.04270240122569791}
{-Pi/2, 0.05027419765929783}
{(-15*Pi)/32, 0.04518760183721935}
{(-7*Pi)/16, 0.040516695203898986}
{(-13*Pi)/32, 0.057813070834971336}
{(-3*Pi)/8, 0.04751146084612787}
{(-11*Pi)/32, 0.04222244528742231}
{(-5*Pi)/16, 0.044080278291832926}
{(-9*Pi)/32, 0.0344618547517006}
{-Pi/4, 0.03635148081949676}
{(-7*Pi)/32, 0.05151578054769225}
{(-3*Pi)/16, 0.051723361523637025}
{(-5*Pi)/32, 0.056508149664316464}
{-Pi/8, 0.05062191103133971}
{(-3*Pi)/32, 0.07143145630517901}
{-Pi/16, 0.059819522405369134}
{-Pi/32, 0.056958506525437845}
{0, 0.06142835773993122}
{Pi/32, 0.06332307398687204}
{Pi/16, 0.05614618770270449}
{(3*Pi)/32, 0.058160614490507086}
{Pi/8, 0.04609064276348534}
{(5*Pi)/32, 0.03872528428060316}
{(3*Pi)/16, 0.023116596126079032}
{(7*Pi)/32, 0.02028213839360145}
{Pi/4, 0.01667861843473744}
{(9*Pi)/32, 0.007878876421277877}
{(5*Pi)/16, 0.008978940812603663}
{(11*Pi)/32, -0.013570001779293545}
{(3*Pi)/8, -0.01900324401478332}
{(13*Pi)/32, -0.030246242995404325}
{(7*Pi)/16, -0.034296104019730066}
{(15*Pi)/32, -0.046491837776855977}
{Pi/2, -0.04548578014245855}
{(17*Pi)/32, -0.06507849645201862}
{(9*Pi)/16, -0.06383092741727528}
{(19*Pi)/32, -0.0753013196414164}
{(5*Pi)/8, -0.060088969150645856}
{(21*Pi)/32, -0.0614247398090651}
{(11*Pi)/16, -0.0299531996005931}
{(23*Pi)/32, -0.03325803830309041}
{(3*Pi)/4, -0.020713419224430336}
{(25*Pi)/32, -0.04382691325147789}
{(13*Pi)/16, -0.022959673143462127}
{(27*Pi)/32, -0.02776776887562842}
{(7*Pi)/8, -0.03962728110618988}
{(29*Pi)/32, -0.04553841922087502}
{(15*Pi)/16, -0.04051446441538979}
{(31*Pi)/32, -0.03695567645450838}
