{-Pi, -0.01705636745423286}
{(-31*Pi)/32, -0.017731293785128346}
{(-15*Pi)/16, -0.020877603362363197}
{(-29*Pi)/32, -0.022837167678160995}
{(-7*Pi)/8, -0.02447666376066061}
{(-27*Pi)/32, -0.026535397572389676}
{(-13*Pi)/16, -0.022667099796854634}
{(-25*Pi)/32, -0.01972746613769132}
{(-3*Pi)/4, -0.013707604658774686}
{(-23*Pi)/32, -0.01581558568730879}
{(-11*Pi)/16, -0.01721019022312132}
{(-21*Pi)/32, -0.017302967309827208}
{(-5*Pi)/8, -0.019718744776416483}
{(-19*Pi)/32, -0.023064714442574054}
{(-9*Pi)/16, -0.02366814846070272}
{(-17*Pi)/32, -0.023362413178034423}
{-Pi/2, -0.022341824172488645}
{(-15*Pi)/32, -0.023448399916387707}
{(-7*Pi)/16, -0.015740165127729362}
{(-13*Pi)/32, -0.02139734638412548}
{(-3*Pi)/8, -0.016744875346895432}
{(-11*Pi)/32, -0.023727271528598246}
{(-5*Pi)/16, -0.016835679858812864}
{(-9*Pi)/32, -0.016775565032577173}
{-Pi/4, -0.013676235446105816}
{(-7*Pi)/32, -0.009692844708406919}
{(-3*Pi)/16, -0.012363760297211774}
{(-5*Pi)/32, -0.0032220478039217387}
{-Pi/8, -0.0014572932194211053}
{(-3*Pi)/32, -0.004314878539068828}
{-Pi/16, -0.0004721217241205214}
{-Pi/32, -0.0008319927321304935}
{0, 0.01976347246528319}
{Pi/32, 0.025843786491036306}
{Pi/16, 0.022083694465916605}
{(3*Pi)/32, 0.029003380525620123}
{Pi/8, 0.027216306198355425}
{(5*Pi)/32, 0.029460953065721815}
{(3*Pi)/16, 0.02841300477476979}
{(7*Pi)/32, 0.02714052418737822}
{Pi/4, 0.02940050205645498}
{(9*Pi)/32, 0.020529033997315798}
{(5*Pi)/16, 0.027436456827696944}
{(11*Pi)/32, 0.0237863480079748}
{(3*Pi)/8, 0.025739742809659426}
{(13*Pi)/32, 0.022757448127502973}
{(7*Pi)/16, 0.02447871148720503}
{(15*Pi)/32, 0.021364170771966933}
{Pi/2, 0.018975477719510653}
{(17*Pi)/32, 0.020038862868807863}
{(9*Pi)/16, 0.018591172708870302}
{(19*Pi)/32, 0.013999483408795024}
{(5*Pi)/8, 0.0171312592901237}
{(21*Pi)/32, 0.021219186792528707}
{(11*Pi)/16, 0.021606705983293638}
{(23*Pi)/32, 0.024784314208203956}
{(3*Pi)/4, 0.028940577179913697}
{(25*Pi)/32, 0.01795481707868125}
{(13*Pi)/16, 0.02049947213133319}
{(27*Pi)/32, 0.015045199634065429}
{(7*Pi)/8, 0.015381788350691606}
{(29*Pi)/32, 0.006190159855668897}
{(15*Pi)/16, 0.007478413144155437}
{(31*Pi)/32, 0.006773148117954299}
