{-15, 0.21927659830054053}
{-449/30, 0.19845455929323286}
{-224/15, 0.173633092233158}
{-149/10, 0.18339695202415543}
{-223/15, 0.17698045543720922}
{-89/6, 0.177810637041627}
{-74/5, 0.1790950933905076}
{-443/30, 0.160963197589553}
{-221/15, 0.1628605510052982}
{-147/10, 0.1368626249197527}
{-44/3, 0.1680455082562074}
{-439/30, 0.192246293362846}
{-73/5, 0.16200476771934577}
{-437/30, 0.16206327791469163}
{-218/15, 0.15543218724535565}
{-29/2, 0.12845345537308978}
{-217/15, 0.1498800543327075}
{-433/30, 0.13737999221597708}
{-72/5, 0.1344929672615179}
{-431/30, 0.13010281495044043}
{-43/3, 0.14191726210294478}
{-143/10, 0.12679154988344585}
{-214/15, 0.1434312328831329}
{-427/30, 0.1252075818447473}
{-71/5, 0.12619879936502773}
{-85/6, 0.10363433435359802}
{-212/15, 0.139242377519808}
{-141/10, 0.1198260629471254}
{-211/15, 0.09237657492098207}
{-421/30, 0.09866044443542757}
{-14, 0.09652487329910951}
{-419/30, 0.10359385227650672}
{-209/15, 0.10757433451054944}
{-139/10, 0.11034093036299208}
{-208/15, 0.09354184952747337}
{-83/6, 0.0809596422135825}
{-69/5, 0.08124951231732225}
{-413/30, 0.06712365682856737}
{-206/15, 0.05847975845464988}
{-137/10, 0.07804631838807057}
{-41/3, 0.07390296820479028}
{-409/30, 0.05146342840853218}
{-68/5, 0.04631075133106729}
{-407/30, 0.050242321843898895}
{-203/15, 0.054775959557414274}
{-27/2, 0.031280997942581344}
{-202/15, 0.0449192627364018}
{-403/30, 0.002035370437767889}
{-67/5, 0.02455387299578164}
{-401/30, 0.013763302720110785}
{-40/3, 0.0002533854442773298}
{-133/10, 0.023158401756157774}
{-199/15, 0.008029348127922331}
{-397/30, 0.00945687658842812}
{-66/5, -0.0021197292741092955}
{-79/6, -0.008362004361424827}
{-197/15, -0.01752702681225319}
{-131/10, -0.021383009928258735}
{-196/15, -0.0016344062763302902}
{-391/30, -0.01427772278294671}
{-13, -0.01389113934810865}
{-389/30, -0.00302642126800346}
{-194/15, -0.008061001763474606}
{-129/10, -0.013643169450882894}
{-193/15, -0.012650037786669555}
{-77/6, -0.024571310476009068}
{-64/5, -0.02418836424037423}
{-383/30, -0.025929358618459682}
{-191/15, -0.016481175045791552}
{-127/10, -0.012423296283628734}
{-38/3, -0.036333850236805035}
{-379/30, -0.040115477576810055}
{-63/5, -0.033300129086760395}
{-377/30, -0.03767502446072451}
{-188/15, -0.03219375971406214}
{-25/2, -0.034463069285066594}
{-187/15, -0.06234127003462616}
{-373/30, -0.05539081136659794}
{-62/5, -0.0393935722753365}
