{-Pi, -0.04926555463554652}
{(-31*Pi)/32, -0.04578689521995209}
{(-15*Pi)/16, -0.04565264117135784}
{(-29*Pi)/32, -0.04411224999637403}
{(-7*Pi)/8, -0.03742030168797171}
{(-27*Pi)/32, -0.038300422903969636}
{(-13*Pi)/16, -0.037402623604591526}
{(-25*Pi)/32, -0.030200981418829355}
{(-3*Pi)/4, -0.026047986967745768}
{(-23*Pi)/32, -0.022871598583326047}
{(-11*Pi)/16, -0.018556369019914684}
{(-21*Pi)/32, -0.01233774656685993}
{(-5*Pi)/8, -0.005479368968182136}
{(-19*Pi)/32, -0.0007294021236250408}
{(-9*Pi)/16, -0.0023802575819385843}
{(-17*Pi)/32, 0.01121723612806419}
{-Pi/2, 0.012351185444841244}
{(-15*Pi)/32, 0.013836910112895725}
{(-7*Pi)/16, 0.01711335308401471}
{(-13*Pi)/32, 0.010466772817805232}
{(-3*Pi)/8, 0.019753059044952358}
{(-11*Pi)/32, 0.021204818366379056}
{(-5*Pi)/16, 0.021853937179766393}
{(-9*Pi)/32, 0.025075570657697305}
{-Pi/4, 0.014026276129433645}
{(-7*Pi)/32, 0.018256923682916974}
{(-3*Pi)/16, 0.02201947152245657}
{(-5*Pi)/32, 0.01645689623548081}
{-Pi/8, 0.027123910442458023}
{(-3*Pi)/32, 0.03912276701156368}
{-Pi/16, 0.033931462956088704}
{-Pi/32, 0.027796781139738644}
{0, 0.05843968887004904}
{Pi/32, 0.061500372928349055}
{Pi/16, 0.05977170340233777}
{(3*Pi)/32, 0.05649304967418822}
{Pi/8, 0.05226538917219168}
{(5*Pi)/32, 0.044275120375946574}
{(3*Pi)/16, 0.03923855052152407}
{(7*Pi)/32, 0.034473821484964265}
{Pi/4, 0.03239732319123466}
{(9*Pi)/32, 0.028398433246053317}
{(5*Pi)/16, 0.028424446344143345}
{(11*Pi)/32, 0.025496618015953727}
{(3*Pi)/8, 0.0213585541254626}
{(13*Pi)/32, 0.013287926563389441}
{(7*Pi)/16, 0.007839338159335093}
{(15*Pi)/32, 0.005782011277264184}
{Pi/2, -0.004750905661882284}
{(17*Pi)/32, -0.0025786714613288755}
{(9*Pi)/16, -0.003469334107953145}
{(19*Pi)/32, -0.011959727672398553}
{(5*Pi)/8, -0.0038429217411657633}
{(21*Pi)/32, -0.01398802088769404}
{(11*Pi)/16, -0.018485205194186453}
{(23*Pi)/32, -0.017715384611307394}
{(3*Pi)/4, 0.005521365821365141}
{(25*Pi)/32, 0.0025366072380492094}
{(13*Pi)/16, -0.005451474767522703}
{(27*Pi)/32, -0.006441030088460788}
{(7*Pi)/8, -0.010895482212783261}
{(29*Pi)/32, -0.02070405470170227}
{(15*Pi)/16, -0.04362169451814596}
{(31*Pi)/32, -0.037199294986590484}
