{-15, 0.16946969216701824}
{-449/30, 0.18946652845317644}
{-224/15, 0.15054308465036614}
{-149/10, 0.13509716278095749}
{-223/15, 0.15405918058664683}
{-89/6, 0.11749190441633574}
{-74/5, 0.12751227670651644}
{-443/30, 0.09334737720451904}
{-221/15, 0.09664790810706936}
{-147/10, 0.11761435239860968}
{-44/3, 0.10072999116255248}
{-439/30, 0.08263783865499363}
{-73/5, 0.11799842304369162}
{-437/30, 0.11039628575165072}
{-218/15, 0.11976627030485364}
{-29/2, 0.10401293934683267}
{-217/15, 0.10006989804877531}
{-433/30, 0.1172783977661276}
{-72/5, 0.10752809413771305}
{-431/30, 0.1059138122086658}
{-43/3, 0.10991189520475997}
{-143/10, 0.0907983358099757}
{-214/15, 0.0898788359372001}
{-427/30, 0.0741969779276699}
{-71/5, 0.08721448355703382}
{-85/6, 0.06105053195461054}
{-212/15, 0.09528896713612599}
{-141/10, 0.09302121479605358}
{-211/15, 0.09019152988267892}
{-421/30, 0.08240515037767061}
{-14, 0.11740372608127432}
{-419/30, 0.07602294874660678}
{-209/15, 0.055726500650564115}
{-139/10, 0.06655784257511232}
{-208/15, 0.04169395877021354}
{-83/6, 0.06531137230745063}
{-69/5, 0.046275938705285645}
{-413/30, 0.043117249861299715}
{-206/15, 0.053586626455459786}
{-137/10, 0.03661007979367775}
{-41/3, 0.06354279596616436}
{-409/30, 0.04854705444892934}
{-68/5, 0.010068246864411247}
{-407/30, 0.0382387068626033}
{-203/15, 0.047391645895591486}
{-27/2, 0.046287794572383086}
{-202/15, 0.03506720233046178}
{-403/30, 0.029881382635730362}
{-67/5, 0.03636594839405646}
{-401/30, 0.02004986007817604}
{-40/3, 0.02980080694821601}
{-133/10, 0.026117030941220056}
{-199/15, -0.0008910695310172849}
{-397/30, 0.034490857260735204}
{-66/5, 0.023873186513973493}
{-79/6, 0.02507287622816426}
{-197/15, 0.015310168092502005}
{-131/10, 0.016614954722515188}
{-196/15, 0.025603913981972554}
{-391/30, 0.020034210162312115}
{-13, 0.004480604314031694}
{-389/30, 0.032571748401950484}
{-194/15, 0.003922008994431285}
{-129/10, 0.009250284866475961}
{-193/15, 0.005196260732358869}
{-77/6, 0.0005871080013619347}
{-64/5, -0.018705762299661508}
{-383/30, -0.023520445637057158}
{-191/15, 0.008743588884963812}
{-127/10, -0.00847985743433379}
{-38/3, -0.013401374587499282}
{-379/30, -0.008497545617184821}
{-63/5, -0.010885598146913252}
{-377/30, -0.01706402794932534}
{-188/15, -0.019623986843686683}
{-25/2, -0.020924368864060964}
{-187/15, -0.014390780876295528}
{-373/30, -0.017357615105787202}
{-62/5, -0.025637108902475517}
{-371/30, -0.01759173940828423}
{-37/3, -0.041586397238227206}
{-123/10, -0.0631376953026549}
