{3.21, 97}
{3.255, 106}
{3.3, 72}
{3.345, 94}
{3.39, 101}
{3.435, 126}
{3.48, 126}
{3.525, 109}
{3.57, 110}
{3.615, 113}
{3.66, 93}
{3.705, 87}
{3.75, 101}
{3.795, 85}
{3.84, 77}
{3.885, 80}
{3.93, 92}
{3.975, 91}
{4.02, 84}
{4.065, 80}
{4.11, 68}
{4.155, 84}
{4.2, 78}
{4.245, 77}
{4.29, 93}
{4.335, 72}
{4.38, 44}
{4.425, 35}
{4.47, 49}
{4.515, 69}
{4.56, 28}
{4.605, 45}
{4.65, 21}
{4.695, 2}
{4.74, 3}
{4.785, 0}
{4.83, 0}
{4.875, 0}
{4.92, 0}
{4.965, 0}
{5.01, 0}
