{3.21, 0.315}
{3.255, 0.3875}
{3.3, 0.255}
{3.345, 0.2775}
{3.39, 0.245}
{3.435, 0.28250000000000003}
{3.48, 0.25}
{3.525, 0.2425}
{3.57, 0.20750000000000002}
{3.615, 0.265}
{3.66, 0.2225}
{3.705, 0.245}
{3.75, 0.26}
{3.795, 0.27}
{3.84, 0.2575}
{3.885, 0.2975}
{3.93, 0.2225}
{3.975, 0.28750000000000003}
{4.02, 0.245}
{4.065, 0.2225}
{4.11, 0.2175}
{4.155, 0.20750000000000002}
{4.2, 0.13}
{4.245, 0.1475}
{4.29, 0.12}
{4.335, 0.11}
{4.38, 0.0675}
{4.425, 0.07}
{4.47, 0.08750000000000001}
{4.515, 0.0675}
{4.56, 0.07}
{4.605, 0.15}
{4.65, 0.11750000000000001}
{4.695, 0.075}
{4.74, 0.09}
{4.785, 0.}
{4.83, 0.}
{4.875, 0.}
{4.92, 0.}
{4.965, 0.}
{5.01, 0.}
