{2.145, 16}
{2.19, 20}
{2.235, 10}
{2.28, 13}
{2.325, 9}
{2.37, 12}
{2.415, 24}
{2.46, 22}
{2.505, 24}
{2.55, 38}
{2.595, 79}
{2.64, 67}
{2.685, 76}
{2.73, 142}
{2.775, 111}
{2.82, 99}
{2.865, 156}
{2.91, 175}
{2.955, 110}
{3., 94}
{3.045, 116}
{3.09, 69}
{3.135, 85}
{3.18, 79}
{3.225, 96}
{3.27, 87}
{3.315, 65}
{3.36, 114}
{3.405, 111}
{3.45, 104}
{3.495, 116}
{3.54, 101}
{3.585, 58}
{3.63, 41}
{3.675, 61}
{3.72, 48}
{3.765, 43}
{3.81, 54}
{3.855, 37}
{3.9, 19}
{3.945, 25}
{3.99, 17}
{4.035, 30}
{4.08, 20}
{4.125, 33}
{4.17, 27}
{4.215, 23}
{4.26, 12}
{4.305, 17}
{4.35, 8}
{4.395, 22}
{4.44, 39}
{4.485, 15}
{4.53, 22}
{4.575, 18}
{4.62, 10}
{4.665, 2}
{4.71, 0}
{4.755, 0}
{4.8, 0}
{4.845, 0}
{4.89, 0}
{4.935, 0}
{4.98, 0}
{5.025, 0}
{5.07, 0}
{5.115, 0}
{5.16, 0}
{5.205, 0}
{5.25, 0}
