{3.21, 0.663366}
{3.255, 0.752475}
{3.3, 0.693069}
{3.345, 0.594059}
{3.39, 0.564356}
{3.435, 0.50495}
{3.48, 0.50495}
{3.525, 0.376238}
{3.57, 0.336634}
{3.615, 0.267327}
{3.66, 0.415842}
{3.705, 0.50495}
{3.75, 0.356436}
{3.795, 0.306931}
{3.84, 0.485149}
{3.885, 0.346535}
{3.93, 0.237624}
{3.975, 0.158416}
{4.02, 0.257426}
{4.065, 0.207921}
{4.11, 0.148515}
{4.155, 0.118812}
{4.2, 0.158416}
{4.245, 0.168317}
{4.29, 0.0990099}
{4.335, 0.0594059}
{4.38, 0.019802}
{4.425, 0.039604}
{4.47, 0.00990099}
{4.515, 0.}
{4.56, 0.}
{4.605, 0.}
{4.65, 0.}
{4.695, 0.}
{4.74, 0.}
{4.785, 0.}
{4.83, 0.}
{4.875, 0.}
{4.92, 0.}
{4.965, 0.}
{5.01, 0.}
