{2.145, 0.}
{2.19, 0.019802}
{2.235, 0.029703}
{2.28, 0.128713}
{2.325, 0.128713}
{2.37, 0.138614}
{2.415, 0.188119}
{2.46, 0.178218}
{2.505, 0.346535}
{2.55, 0.415842}
{2.595, 0.594059}
{2.64, 0.485149}
{2.685, 0.60396}
{2.73, 0.623762}
{2.775, 0.732673}
{2.82, 0.673267}
{2.865, 0.782178}
{2.91, 0.841584}
{2.955, 1.}
{3., 0.831683}
{3.045, 0.821782}
{3.09, 0.782178}
{3.135, 0.80198}
{3.18, 0.594059}
{3.225, 0.633663}
{3.27, 0.673267}
{3.315, 0.50495}
{3.36, 0.49505}
{3.405, 0.653465}
{3.45, 0.673267}
{3.495, 0.643564}
{3.54, 0.663366}
{3.585, 0.70297}
{3.63, 0.594059}
{3.675, 0.386139}
{3.72, 0.386139}
{3.765, 0.475248}
{3.81, 0.415842}
{3.855, 0.306931}
{3.9, 0.425743}
{3.945, 0.316832}
{3.99, 0.158416}
{4.035, 0.108911}
{4.08, 0.029703}
{4.125, 0.}
{4.17, 0.00990099}
{4.215, 0.}
{4.26, 0.}
{4.305, 0.}
{4.35, 0.}
{4.395, 0.}
{4.44, 0.}
{4.485, 0.}
{4.53, 0.}
{4.575, 0.}
{4.62, 0.}
{4.665, 0.}
{4.71, 0.}
{4.755, 0.}
{4.8, 0.}
{4.845, 0.}
{4.89, 0.}
{4.935, 0.}
{4.98, 0.}
{5.025, 0.}
{5.07, 0.}
{5.115, 0.}
{5.16, 0.}
{5.205, 0.}
{5.25, 0.}
