{2.145, 0.0277778}
{2.19, 0.0277778}
{2.235, 0.0555556}
{2.28, 0.0277778}
{2.325, 0.}
{2.37, 0.0277778}
{2.415, 0.0833333}
{2.46, 0.0555556}
{2.505, 0.0277778}
{2.55, 0.0555556}
{2.595, 0.0277778}
{2.64, 0.111111}
{2.685, 0.0555556}
{2.73, 0.166667}
{2.775, 0.138889}
{2.82, 0.111111}
{2.865, 0.0833333}
{2.91, 0.166667}
{2.955, 0.111111}
{3., 0.138889}
{3.045, 0.0555556}
{3.09, 0.0277778}
{3.135, 0.138889}
{3.18, 0.111111}
{3.225, 0.0833333}
{3.27, 0.138889}
{3.315, 0.0833333}
{3.36, 0.111111}
{3.405, 0.222222}
{3.45, 0.25}
{3.495, 0.222222}
{3.54, 0.222222}
{3.585, 0.166667}
{3.63, 0.0555556}
{3.675, 0.0555556}
{3.72, 0.166667}
{3.765, 0.138889}
{3.81, 0.111111}
{3.855, 0.111111}
{3.9, 0.0555556}
{3.945, 0.0277778}
{3.99, 0.}
{4.035, 0.0277778}
{4.08, 0.0833333}
{4.125, 0.0277778}
{4.17, 0.0555556}
{4.215, 0.0555556}
{4.26, 0.}
{4.305, 0.0555556}
{4.35, 0.}
{4.395, 0.}
{4.44, 0.}
{4.485, 0.}
{4.53, 0.}
{4.575, 0.}
{4.62, 0.}
{4.665, 0.}
{4.71, 0.}
{4.755, 0.}
{4.8, 0.}
{4.845, 0.}
{4.89, 0.}
{4.935, 0.}
{4.98, 0.}
{5.025, 0.}
{5.07, 0.}
{5.115, 0.}
{5.16, 0.}
{5.205, 0.}
{5.25, 0.}
